name, description, price, priceChange,priceChangePercent, priceCurrency, exchangeTimezone,url,quoteTime
Canadian Dollar , Canadian Dollar currency overview from MarketWatch. , 1.3389 , 0.0047 , 0.35% , CAD , (UTC-05:00) Eastern Time (US & Canada) , https://www.marketwatch.com/investing/currency/usdcad , Apr 18, 2019 2:31 p.m.
Canadian Dollar,Canadian Dollar currency overview from MarketWatch.,1.3389,0.0047,0.35%,CAD,(UTC-05:00) Eastern Time (US & Canada),https://www.marketwatch.com/investing/currency/usdcad,Apr 18, 2019 2:32 p.m.
Canadian Dollar,Canadian Dollar currency overview from MarketWatch.,1.3389,0.0047,0.35%,CAD,(UTC-05:00) Eastern Time (US & Canada),https://www.marketwatch.com/investing/currency/usdcad,Apr 18, 2019 2:54 p.m.
Canadian Dollar,Canadian Dollar currency overview from MarketWatch.,1.3388,0.0046,0.34%,CAD,(UTC-05:00) Eastern Time (US & Canada),https://www.marketwatch.com/investing/currency/usdcad,Apr 18, 2019 2:55 p.m.
Canadian Dollar,Canadian Dollar currency overview from MarketWatch.,1.3389,0.0047,0.35%,CAD,(UTC-05:00) Eastern Time (US & Canada),https://www.marketwatch.com/investing/currency/usdcad,Apr 18, 2019 2:56 p.m.
